Координаты (точка),Форма сделки,"Стоимость объекта, руб. (покупки или месячной аренды)",Преференциальный режим,Тип площадки,Площадь,Формат площадки
"37.433815,55.67382",Аренда,9000,Отсутствует,Браунфилд,150,Помещение
"37.939978,55.718643",Аренда,6000,Отсутствует,Браунфилд,1000,Помещение
"37.714132,55.748072",Аренда,10000,Отсутствует,Браунфилд,200,Помещение
"37.69578,55.652471",Аренда,4500,Отсутствует,Браунфилд,50,Помещение
"37.694639,55.793303",Аренда,9000,Отсутствует,Браунфилд,200,Помещение
"37.705464,55.664852",Аренда,8000,Отсутствует,Браунфилд,30,Помещение
"37.633742,55.628871",Аренда,12000,Отсутствует,Браунфилд,2000,Помещение
"37.492877,55.610184",Аренда,11000,Отсутствует,Браунфилд,1000,Помещение
"37.72882,55.655026",Аренда,150000,Отсутствует,Браунфилд,180,Помещение
"37.746948,55.819312",Аренда,14000,Отсутствует,Браунфилд,100,Помещение
"37.724759,55.743679",Аренда,7000,Отсутствует,Браунфилд,50,Помещение
"37.614177,55.684975",Аренда,10000,Отсутствует,Браунфилд,1000,Помещение
"37.431235,55.728591",Аренда,12500,Отсутствует,Браунфилд,40,Помещение
"37.750793,55.757024",Аренда,130000,Отсутствует,Браунфилд,500,Помещение
"37.42713,55.692957",Аренда,14000,Отсутствует,Браунфилд,2000,Помещение
"37.396281,55.725169",Аренда,10000,Отсутствует,Браунфилд,250,Помещение
"37.559002,55.648931",Аренда,9000,Отсутствует,Браунфилд,1000,Помещение
"37.729242,55.789006",Аренда,7250,Отсутствует,Браунфилд,100,Помещение
"37.153907,56.008067",Аренда,14000,Особая экономическая зона,Браунфилд,1500,Помещение
"37.68659,55.640736",Аренда,10000,Отсутствует,Браунфилд,500,Помещение
"37.371705,55.635698",Аренда,14400,Отсутствует,Браунфилд,1000,Помещение
"37.250548,55.9774",Аренда,12800,Отсутствует,Браунфилд,115,Помещение
"37.196667,55.585306",Аренда,10600,Отсутствует,Браунфилд,12500,Помещение
"37.623384,55.616015",Аренда,8500,Отсутствует,Браунфилд,100,Помещение
"37.572818,55.525558",Аренда,14400,Отсутствует,Браунфилд,576,Помещение
"37.110007,55.585467",Аренда,8250,Отсутствует,Браунфилд,17000,Помещение
"37.415568,55.38617",Аренда,9000,Отсутствует,Браунфилд,500,Помещение
"37.630975,55.632916",Аренда,9000,Отсутствует,Браунфилд,300,Помещение
"37.27067,55.421501",Аренда,12000,Отсутствует,Браунфилд,565,Помещение
"37.436033,55.675335",Аренда,10000,Отсутствует,Браунфилд,500,Помещение
"37.461716,55.403774",Аренда,1,Отсутствует,Браунфилд,"0,5",Земельный участок
"37.462392,55.402816",Аренда,1,Отсутствует,Браунфилд,"0,9",Земельный участок
"37.807037,55.639951",Аренда,1,Отсутствует,Браунфилд,"0,35",Земельный участок
"37.884923,55.745779",Аренда,1,Отсутствует,Браунфилд,"0,86",Земельный участок
"37.187449,55.319858",Аренда,1,Отсутствует,Браунфилд,1,Земельный участок
"37.582336,55.493668",Аренда,1,Отсутствует,Браунфилд,1,Земельный участок
"37.498258,55.891738",Аренда,1,Отсутствует,Браунфилд,"0,53",Земельный участок
"37.810264,55.637717",Аренда,1,Отсутствует,Браунфилд,"0,38",Земельный участок
"37.11726,55.285811",Аренда,1,Отсутствует,Браунфилд,2,Земельный участок
"37.571272,55.494531",Аренда,1,Отсутствует,Браунфилд,"0,9",Земельный участок
"37.572134,55.495338",Аренда,1,Отсутствует,Браунфилд,"0,95",Земельный участок
"37.065626,55.221964",Аренда,1,Отсутствует,Браунфилд,"3,21",Земельный участок
"37.578512,55.527928",Аренда,1,Отсутствует,Браунфилд,"0,7",Земельный участок
"37.808999,55.637319",Аренда,1,Отсутствует,Браунфилд,"1,5",Земельный участок
"37.457689,55.403021",Аренда,1,Отсутствует,Браунфилд,"0,8",Земельный участок
"37.807309,55.63992",Аренда,1,Отсутствует,Браунфилд,"0,44",Земельный участок
"37.07304,55.21915",Аренда,1,Отсутствует,Браунфилд,"3,5",Земельный участок
"37.518236,55.481613",Аренда,1,Отсутствует,Браунфилд,"2,9",Земельный участок
"37.510973,55.481759",Аренда,1,Отсутствует,Браунфилд,"0,35",Земельный участок
"37.528032,55.485896",Аренда,1,Отсутствует,Браунфилд,"2,3",Земельный участок
"37.462394,55.40747",Аренда,1,Отсутствует,Браунфилд,"2,3",Земельный участок
