Вопрос,Ответ
Где находится особая экономическая зона?,"Особая экономическая зона находится на территории города Москвы. В настоящее время особая экономическая зона располагается на 6 площадках. ОЭЗ «Технополис Москва» включает площадки Алабушево, Руднево, Микрон, Ангстрем, Печатники и Зеленоградская площадка."
Какими нормативными правовыми актами регулируется ОЭЗ,"Основной закон, регулирующий деятельность ОЭЗ 
в Российской Федерации – это Федеральный закон 
от 22.07.2005 г. № 116-ФЗ «Об особых экономических зонах в Российской Федерации».

Также ОЭЗ регулирует нормативный акт города Москвы – это постановление Правительства Москвы от 11.02.2016 г. 
№ 38-ПП «О мерах по реализации промышленной и инвестиционной политики»

Копии документов готов(а) направить Вам на электронную почту"
Какие налоговые преференции у резидентов ОЭЗ,"Резиденты ОЭЗ имеют ряд преференций, а именно:
-налог на прибыль – 2%
-налог на имущество – 2%
-транспортный налог – 0%
-таможенные пошлины – 0%"
Какую деятельность можно осуществлять в ОЭЗ,На территории ОЭЗ разрешается осуществлять технико-внедренческую или промышленно-производственную деятельность
Какие есть варианты размещения производства в ОЭЗ,В ОЭЗ имеется возможность размещения на площадках Гринфилд и Браунфилд 
Какие предъявляются требования к компании,"К потенциальным резидентам ОЭЗ предъявляются общие (формальные) в части планируемой экономической деятельности на территории ОЭЗ, регистрации юридического лица на территории ОЭЗ, а также экономические требования в части планируемого объема инвестиций, планируемого объема выручки и средней заработной платы"
Какие предъявляются обязательства к резидентам ОЭЗ,"С резидентом ОЭЗ заключается трехстороннее соглашение, включающее в себя права и обязанности каждой стороны"
Как получить статус резидента ОЭЗ,"Для получения статуса резидента ОЭЗ Вам необходимо разработать паспорт инвестиционного проекта и подать заявку на заключение соглашения

Более подробную информацию о необходимых документах, сроках и порядке подачи заявки готов(а) направить Вам на электронную почту"
Сколько времени получать статус резидента,"Получение статуса резидента занимает до 15 рабочих дней 
с даты подачи заявки 

Более подробную информацию об этапах и сроках получения статуса резидента готов(а) направить Вам на электронную почту"
Какие типы особых экономических зон предусматривает Федеральный закон?,"Федеральным законом предусмотрены следующие типы особых экономических зон: промышленно-производственные, технико-внедренческие, туристско-рекреационные, портовые."
Кто является резидентами особых экономических зон?,"Резидентами особых экономических зон являются индивидуальные предприниматели и (или) коммерческие организации, за исключением государственных и муниципальных унитарных предприятий, которые заключили с уполномоченным Правительством Российской Федерации федеральным органом исполнительной власти договор об осуществлении деятельности в особой экономической зоне."
Какова цель создания особых экономических зон?,"Целями создания особых экономических зон являются развитие обрабатывающих и высокотехнологичных отраслей экономики, импортозамещение, развитие туризма, санаторно-курортной сферы, портовой и транспортной инфраструктур, разработка технологий и коммерциализация их результатов, производство новых видов продукции."
"Расскажи про инвестиционную площадку ""Микрон""","Площадка «Микрон» расположена в Зеленоградском административном округе города Москвы и является частью особой экономической зоны «Технополис Москва». Общая площадь данной площадки составляет 13,33 га. На сегодняшний день на ней зарегистрировано 5 резидентов ОЭЗ. Суммарный объем инвестиций, привлеченных на площадку, достигает 2,99 млрд рублей. Площадка способна обеспечить 2333 рабочих мест для специалистов в сфере микроэлектроники и смежных отраслей. Таким образом, площадка «Микрон» представляет собой высокотехнологичный комплекс, ориентированный на производство электронных компонентов, микросхем и микропроцессоров, с развитой инфраструктурой и привлекательными условиями для размещения и развития бизнеса."
